Rank;Infinitive;Polish;Ja;Ti;OnOnaOno;Mi;Vi;OniOneOna;ExampleCroatian;ExamplePolish;Type;Note;Tags
75;radovati se;cieszyć się;radujem se;raduješ se;raduje se;radujemo se;radujete se;raduju se;Radujem se putovanju.;Cieszę się na podróż.;irregular;Bezokoliczniki na -ovati mają temat na -uj-.;verb present irregular reflexive
76;vjerovati;wierzyć;vjerujem;vjeruješ;vjeruje;vjerujemo;vjerujete;vjeruju;Vjerujem ti.;Wierzę ci.;irregular;Zamiana -ovati na -ujem.;verb present irregular
77;kupovati;kupować;kupujem;kupuješ;kupuje;kupujemo;kupujete;kupuju;Kupujemo kruh u pekarnici.;Kupujemy chleb w piekarni.;irregular;Zamiana -ovati na -ujem. Dokonane kupiti odmienia się kupim.;verb present irregular shopping
78;putovati;podróżować;putujem;putuješ;putuje;putujemo;putujete;putuju;Putujem u Zagreb vlakom.;Podróżuję do Zagrzebia pociągiem.;irregular;Zamiana -ovati na -ujem.;verb present irregular travel
79;stanovati;mieszkać;stanujem;stanuješ;stanuje;stanujemo;stanujete;stanuju;Stanujem u zgradi kraj mora.;Mieszkam w bloku przy morzu.;irregular;Zamiana -ovati na -ujem. W mowie częściej živim.;verb present irregular
80;doručkovati;jeść śniadanie;doručkujem;doručkuješ;doručkuje;doručkujemo;doručkujete;doručkuju;Doručkujem samo kavu.;Na śniadanie jem tylko kawę.;irregular;Zamiana -ovati na -ujem.;verb present irregular food
81;pokazivati;pokazywać;pokazujem;pokazuješ;pokazuje;pokazujemo;pokazujete;pokazuju;Pokazujem im stari grad.;Pokazuję im stare miasto.;irregular;Zamiana -ivati na -ujem.;verb present irregular
82;plesati;tańczyć;plešem;plešeš;pleše;plešemo;plešete;plešu;Plešemo do jutra.;Tańczymy do rana.;irregular;Wymiana s na š.;verb present irregular
83;plakati;płakać;plačem;plačeš;plače;plačemo;plačete;plaču;Beba plače cijelu noć.;Dziecko płacze całą noc.;irregular;Wymiana k na č.;verb present irregular
84;skakati;skakać;skačem;skačeš;skače;skačemo;skačete;skaču;Djeca skaču u more.;Dzieci skaczą do morza.;irregular;Wymiana k na č.;verb present irregular
85;vikati;krzyczeć;vičem;vičeš;viče;vičemo;vičete;viču;Ne vičem na tebe.;Nie krzyczę na ciebie.;irregular;Wymiana k na č.;verb present irregular
86;disati;oddychać;dišem;dišeš;diše;dišemo;dišete;dišu;Dišem duboko i mirno.;Oddycham głęboko i spokojnie.;irregular;Wymiana s na š.;verb present irregular
87;brisati;wycierać;brišem;brišeš;briše;brišemo;brišete;brišu;Brišem prašinu s police.;Wycieram kurz z półki.;irregular;Wymiana s na š.;verb present irregular
88;micati;ruszać;mičem;mičeš;miče;mičemo;mičete;miču;Ne mičem se odavde.;Nie ruszam się stąd.;irregular;Wymiana c na č.;verb present irregular
89;mazati;smarować;mažem;mažeš;maže;mažemo;mažete;mažu;Mažem maslac na kruh.;Smaruję masło na chleb.;irregular;Wymiana z na ž.;verb present irregular
90;lagati;kłamać;lažem;lažeš;laže;lažemo;lažete;lažu;Ne lažem ti.;Nie kłamię ci.;irregular;Wymiana g na ž.;verb present irregular
91;letjeti;lecieć;letim;letiš;leti;letimo;letite;lete;Letimo u ponedjeljak.;Lecimy w poniedziałek.;irregular_or_difficult;Bezokolicznik na -jeti, odmiana na -im.;verb present travel
92;trčati;biegać;trčim;trčiš;trči;trčimo;trčite;trče;Trčim uz obalu svako jutro.;Biegam wzdłuż brzegu każdego ranka.;irregular_or_difficult;Bezokolicznik na -ati, odmiana na -im.;verb present
93;bježati;uciekać;bježim;bježiš;bježi;bježimo;bježite;bježe;Bježimo od gužve.;Uciekamy od tłumu.;irregular_or_difficult;Bezokolicznik na -ati, odmiana na -im.;verb present
94;držati;trzymać;držim;držiš;drži;držimo;držite;drže;Držim ti mjesto.;Trzymam ci miejsce.;irregular_or_difficult;Bezokolicznik na -ati, odmiana na -im.;verb present
95;boljeti;boleć;bolim;boliš;boli;bolimo;bolite;bole;Boli me glava.;Boli mnie głowa.;irregular_or_difficult;W praktyce prawie zawsze w trzeciej osobie: boli me, bole me noge.;verb present body
96;zaspati;zasnąć;zaspim;zaspiš;zaspi;zaspimo;zaspite;zaspe;Zaspim tek oko dva.;Zasypiam dopiero około drugiej.;irregular;Bezokolicznik na -ati, odmiana na -im, w oni zaspe.;verb present irregular
97;krenuti;wyruszyć;krenem;kreneš;krene;krenemo;krenete;krenu;Krenemo u pet ujutro.;Wyruszamy o piątej rano.;irregular;Czasowniki na -nuti tracą u: temat kren-.;verb present irregular travel
98;maknuti;przesunąć;maknem;makneš;makne;maknemo;maknete;maknu;Maknem auto s ceste.;Przestawię samochód z drogi.;irregular;Zamiana -nuti na -nem.;verb present irregular
99;dignuti;podnieść;dignem;digneš;digne;dignemo;dignete;dignu;Dignem ruku ako znam.;Podnoszę rękę, jeśli wiem.;irregular;Wariant bezokolicznika dići. Temat dign-.;verb present irregular
100;prodati;sprzedać;prodam;prodaš;proda;prodamo;prodate;prodaju;Prodam stan do ljeta.;Sprzedam mieszkanie do lata.;irregular_or_difficult;Krótki temat proda-, jak w dati.;verb present shopping
101;prodavati;sprzedawać;prodajem;prodaješ;prodaje;prodajemo;prodajete;prodaju;Prodaju ribu na tržnici.;Sprzedają rybę na targu.;irregular;Temat prodaj-, jak w davati.;verb present irregular shopping
102;dolaziti;przychodzić;dolazim;dolaziš;dolazi;dolazimo;dolazite;dolaze;Dolazim svaki utorak.;Przychodzę w każdy wtorek.;irregular_or_difficult;Niedokonany odpowiednik doći, ale odmiana zwykła na -im.;verb present motion
