id;polish;croatian;acceptedAnswers;level;topic;grammarTopic;gameTypes;gapText;gapAnswer;incorrectSentence;correctionExplanation;transformType;transformInstruction;transformAnswer;sourceType;sourceName;sourceUrl;license
hr-a1-014;Idziemy na dworzec.;Idemo na kolodvor.;;A1;travel;agreement;translation|builder|gap|correction|transform;___ na kolodvor.;Idemo;Mi idem na kolodvor.;sentences.explanations.agreement;negation;sentences.instructions.negation;Ne idemo na kolodvor.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-015;Te buty są drogie.;Ove cipele su skupe.;;A1;shopping;gender;translation|builder|gap|correction|transform;Ove cipele su ___.;skupe;Ove cipele su skup.;sentences.explanations.gender;negation;sentences.instructions.negation;Ove cipele nisu skupe.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-016;Dzieci śpią w pokoju.;Djeca spavaju u sobi.;;A1;family;agreement;translation|builder|gap|correction|transform;Djeca ___ u sobi.;spavaju;Djeca spava u sobi.;sentences.explanations.agreement;negation;sentences.instructions.negation;Djeca ne spavaju u sobi.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-017;Dzisiaj jest poniedziałek.;Danas je ponedjeljak.;;A1;time;agreement;translation|builder|gap|correction|transform;Danas ___ ponedjeljak.;je;Danas su ponedjeljak.;sentences.explanations.agreement;negation;sentences.instructions.negation;Danas nije ponedjeljak.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-018;Lubię słuchać muzyki.;Volim slušati glazbu.;Volim slušati muziku.;A1;hobby;object;translation|builder|gap|correction|transform;Volim slušati ___.;glazbu;Volim slušati glazba.;sentences.explanations.object;negation;sentences.instructions.negation;Ne volim slušati glazbu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-019;Moja przyjaciółka dobrze pływa.;Moja prijateljica dobro pliva.;;A1;sport;agreement;translation|builder|gap|correction|transform;Moja prijateljica dobro ___.;pliva;Moja prijateljica dobro plivaju.;sentences.explanations.agreement;negation;sentences.instructions.negation;Moja prijateljica ne pliva dobro.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-020;Po śniadaniu idę do pracy.;Nakon doručka idem na posao.;;A1;daily;genitive;translation|builder|gap|correction|transform;Nakon ___ idem na posao.;doručka;Nakon doručak idem na posao.;sentences.explanations.genitive;negation;sentences.instructions.negation;Nakon doručka ne idem na posao.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-001;Po obiedzie sprzątam kuchnię.;Nakon ručka čistim kuhinju.;;A2;home;object;translation|builder|gap|correction|transform;Nakon ručka čistim ___.;kuhinju;Nakon ručka čistim kuhinja.;sentences.explanations.object;tense_future;sentences.instructions.tense_future;Nakon ručka ću čistiti kuhinju.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-002;Wysyłam wiadomość do kolegi.;Šaljem poruku kolegi.;;A2;work;dative;translation|builder|gap|correction|transform;Šaljem poruku ___.;kolegi;Šaljem poruku kolega.;sentences.explanations.dative;tense_future;sentences.instructions.tense_future;Slat ću poruku kolegi.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-003;Przygotowujemy kolację dla przyjaciół.;Pripremamo večeru za prijatelje.;;A2;food;object;translation|builder|gap|correction|transform;Pripremamo ___ za prijatelje.;večeru;Pripremamo večera za prijatelje.;sentences.explanations.object;tense_future;sentences.instructions.tense_future;Pripremat ćemo večeru za prijatelje.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-004;Podróżujemy pociągiem do Zagrzebia.;Putujemo vlakom do Zagreba.;;A2;travel;genitive;translation|builder|gap|correction|transform;Putujemo vlakom do ___.;Zagreba;Putujemo vlakom do Zagreb.;sentences.explanations.genitive;tense_future;sentences.instructions.tense_future;Putovat ćemo vlakom do Zagreba.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-005;W sklepie płacę kartą.;U trgovini plaćam karticom.;;A2;shopping;instrumental;translation|builder|gap|correction|transform;U trgovini plaćam ___.;karticom;U trgovini plaćam kartica.;sentences.explanations.instrumental;tense_future;sentences.instructions.tense_future;U trgovini ću plaćati karticom.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-006;Odwiedzam babcię w niedzielę.;Posjećujem baku u nedjelju.;;A2;family;object;translation|builder|gap|correction|transform;Posjećujem ___ u nedjelju.;baku;Posjećujem baka u nedjelju.;sentences.explanations.object;tense_future;sentences.instructions.tense_future;Posjećivat ću baku u nedjelju.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-007;Spotykamy się przed kinem o siódmej.;Nalazimo se ispred kina u sedam.;;A2;time;genitive;translation|builder|gap|correction|transform;Nalazimo se ispred ___ u sedam.;kina;Nalazimo se ispred kino u sedam.;sentences.explanations.genitive;tense_future;sentences.instructions.tense_future;Nalazit ćemo se ispred kina u sedam.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-008;W weekend robię zdjęcia nad morzem.;Vikendom fotografiram uz more.;;A2;hobby;agreement;translation|builder|gap|correction|transform;Vikendom ___ uz more.;fotografiram;Ja vikendom fotografira uz more.;sentences.explanations.agreement;tense_future;sentences.instructions.tense_future;Vikendom ću fotografirati uz more.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-009;Trenujemy trzy razy w tygodniu.;Treniramo tri puta tjedno.;;A2;sport;agreement;translation|builder|gap|correction|transform;___ tri puta tjedno.;Treniramo;Mi trenira tri puta tjedno.;sentences.explanations.agreement;tense_future;sentences.instructions.tense_future;Trenirat ćemo tri puta tjedno.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-010;Po pracy odpoczywam na balkonie.;Nakon posla odmaram se na balkonu.;;A2;daily;case;translation|builder|gap|correction|transform;Nakon posla odmaram se na ___.;balkonu;Nakon posla odmaram se na balkon.;sentences.explanations.case;tense_future;sentences.instructions.tense_future;Nakon posla ću se odmarati na balkonu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-011;Ana otwiera okno, ponieważ jest gorąco.;Ana otvara prozor jer je vruće.;;A2;home;agreement;translation|builder|gap|correction|transform;Ana ___ prozor jer je vruće.;otvara;Ana otvaraju prozor jer je vruće.;sentences.explanations.agreement;tense_past;sentences.instructions.tense_past;Ana je otvarala prozor jer je bilo vruće.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-012;Marko rozmawia z nowym kolegą.;Marko razgovara s novim kolegom.;;A2;work;instrumental;translation|builder|gap|correction|transform;Marko razgovara s ___ kolegom.;novim;Marko razgovara s novi kolegom.;sentences.explanations.instrumental;tense_past;sentences.instructions.tense_past;Marko je razgovarao s novim kolegom.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-013;Dzieci jedzą owoce po obiedzie.;Djeca jedu voće nakon ručka.;;A2;food;agreement;translation|builder|gap|correction|transform;Djeca ___ voće nakon ručka.;jedu;Djeca jede voće nakon ručka.;sentences.explanations.agreement;tense_past;sentences.instructions.tense_past;Djeca su jela voće nakon ručka.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-014;Petra czeka na autobus przed hotelem.;Petra čeka autobus ispred hotela.;;A2;travel;genitive;translation|builder|gap|correction|transform;Petra čeka autobus ispred ___.;hotela;Petra čeka autobus ispred hotel.;sentences.explanations.genitive;tense_past;sentences.instructions.tense_past;Petra je čekala autobus ispred hotela.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-015;Ivan szuka tańszej kurtki.;Ivan traži jeftiniju jaknu.;;A2;shopping;gender;translation|builder|gap|correction|transform;Ivan traži ___ jaknu.;jeftiniju;Ivan traži jeftiniji jaknu.;sentences.explanations.gender;tense_past;sentences.instructions.tense_past;Ivan je tražio jeftiniju jaknu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-016;Moja mama gotuje, a tata nakrywa do stołu.;Moja mama kuha, a tata postavlja stol.;;A2;family;agreement;translation|builder|gap|correction|transform;Moja mama ___, a tata postavlja stol.;kuha;Moja mama kuhaju, a tata postavlja stol.;sentences.explanations.agreement;tense_past;sentences.instructions.tense_past;Moja mama je kuhala, a tata je postavljao stol.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-017;Lekcja zaczyna się o dziewiątej.;Sat počinje u devet.;;A2;time;agreement;translation|builder|gap|correction|transform;Sat ___ u devet.;počinje;Sat počinju u devet.;sentences.explanations.agreement;tense_past;sentences.instructions.tense_past;Sat je počinjao u devet.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-018;Moja siostra uczy się grać na gitarze.;Moja sestra uči svirati gitaru.;;A2;hobby;object;translation|builder|gap|correction|transform;Moja sestra uči svirati ___.;gitaru;Moja sestra uči svirati gitara.;sentences.explanations.object;tense_past;sentences.instructions.tense_past;Moja sestra je učila svirati gitaru.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-019;Zawodnicy biegną w stronę stadionu.;Igrači trče prema stadionu.;;A2;sport;agreement;translation|builder|gap|correction|transform;Igrači ___ prema stadionu.;trče;Igrači trči prema stadionu.;sentences.explanations.agreement;tense_past;sentences.instructions.tense_past;Igrači su trčali prema stadionu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a2-020;Luka bierze prysznic przed snem.;Luka se tušira prije spavanja.;;A2;daily;genitive;translation|builder|gap|correction|transform;Luka se tušira prije ___.;spavanja;Luka se tušira prije spavanje.;sentences.explanations.genitive;tense_past;sentences.instructions.tense_past;Luka se tuširao prije spavanja.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-001;Chociaż mieszkanie jest małe, mamy wystarczająco dużo miejsca.;Iako je stan malen, imamo dovoljno prostora.;;B1;home;genitive;translation|builder|gap|correction|transform;Iako je stan malen, imamo dovoljno ___.;prostora;Iako je stan malen, imamo dovoljno prostor.;sentences.explanations.genitive;negation;sentences.instructions.main_negation;Iako je stan malen, nemamo dovoljno prostora.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-002;Zgadzam się z propozycją, którą przedstawiła koleżanka.;Slažem se s prijedlogom koji je iznijela kolegica.;;B1;work;instrumental;translation|builder|gap|correction|transform;Slažem se s ___ koji je iznijela kolegica.;prijedlogom;Slažem se s prijedlog koji je iznijela kolegica.;sentences.explanations.instrumental;negation;sentences.instructions.main_negation;Ne slažem se s prijedlogom koji je iznijela kolegica.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-003;Zamawiam danie, które polecił kelner.;Naručujem jelo koje je preporučio konobar.;;B1;food;relative;translation|builder|gap|correction|transform;Naručujem jelo ___ je preporučio konobar.;koje;Naručujem jelo koji je preporučio konobar.;sentences.explanations.relative;negation;sentences.instructions.main_negation;Ne naručujem jelo koje je preporučio konobar.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-004;Planujemy podróż, którą od dawna odkładamy.;Planiramo putovanje koje već dugo odgađamo.;;B1;travel;relative;translation|builder|gap|correction|transform;Planiramo putovanje ___ već dugo odgađamo.;koje;Planiramo putovanje koju već dugo odgađamo.;sentences.explanations.relative;negation;sentences.instructions.main_negation;Ne planiramo putovanje koje već dugo odgađamo.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-005;Ten sklep przyjmuje zwroty, jeśli masz paragon.;Ova trgovina prihvaća povrat robe ako imaš račun.;;B1;shopping;agreement;translation|builder|gap|correction|transform;Ova trgovina ___ povrat robe ako imaš račun.;prihvaća;Ova trgovina prihvaćaju povrat robe ako imaš račun.;sentences.explanations.agreement;negation;sentences.instructions.main_negation;Ova trgovina ne prihvaća povrat robe ako imaš račun.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-006;Rodzice popierają decyzję, którą podjąłem.;Roditelji podržavaju odluku koju sam donio.;;B1;family;relative;translation|builder|gap|correction|transform;Roditelji podržavaju odluku ___ sam donio.;koju;Roditelji podržavaju odluku koji sam donio.;sentences.explanations.relative;negation;sentences.instructions.main_negation;Roditelji ne podržavaju odluku koju sam donio.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-007;Mam czas na spacer, zanim zacznie się spotkanie.;Imam vremena za šetnju prije nego što počne sastanak.;;B1;time;agreement;translation|builder|gap|correction|transform;Imam vremena za šetnju prije nego što ___ sastanak.;počne;Imam vremena za šetnju prije nego što počnu sastanak.;sentences.explanations.agreement;negation;sentences.instructions.main_negation;Nemam vremena za šetnju prije nego što počne sastanak.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-008;Rozumiem film, chociaż nie znam wszystkich słów.;Razumijem film iako ne znam sve riječi.;;B1;hobby;agreement;translation|builder|gap|correction|transform;___ film iako ne znam sve riječi.;Razumijem;Ja razumije film iako ne znam sve riječi.;sentences.explanations.agreement;negation;sentences.instructions.main_negation;Ne razumijem film iako ne znam sve riječi.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-009;Kontynuujemy trening, mimo że pada deszcz.;Nastavljamo trening iako pada kiša.;;B1;sport;agreement;translation|builder|gap|correction|transform;Nastavljamo trening iako ___ kiša.;pada;Nastavljamo trening iako padaju kiša.;sentences.explanations.agreement;negation;sentences.instructions.main_negation;Ne nastavljamo trening iako pada kiša.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-010;Pamiętam, gdzie zostawiłam klucze.;Sjećam se gdje sam ostavila ključeve.;;B1;daily;object;translation|builder|gap|correction|transform;Sjećam se gdje sam ostavila ___.;ključeve;Sjećam se gdje sam ostavila ključevi.;sentences.explanations.object;negation;sentences.instructions.main_negation;Ne sjećam se gdje sam ostavila ključeve.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-011;Wymieniamy meble, ponieważ potrzebujemy więcej miejsca.;Mijenjamo namještaj jer trebamo više prostora.;;B1;home;genitive;translation|builder|gap|correction|transform;Mijenjamo namještaj jer trebamo više ___.;prostora;Mijenjamo namještaj jer trebamo više prostor.;sentences.explanations.genitive;tense_future;sentences.instructions.tense_future;Mijenjat ćemo namještaj jer trebamo više prostora.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-012;Sprawdzam dokumenty, zanim wyślę je klientowi.;Provjeravam dokumente prije nego što ih pošaljem klijentu.;;B1;work;dative;translation|builder|gap|correction|transform;Provjeravam dokumente prije nego što ih pošaljem ___.;klijentu;Provjeravam dokumente prije nego što ih pošaljem klijent.;sentences.explanations.dative;tense_future;sentences.instructions.tense_future;Provjeravat ću dokumente prije nego što ih pošaljem klijentu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-013;Gotujemy w domu, żeby wydawać mniej pieniędzy.;Kuhamo kod kuće kako bismo trošili manje novca.;;B1;food;genitive;translation|builder|gap|correction|transform;Kuhamo kod kuće kako bismo trošili manje ___.;novca;Kuhamo kod kuće kako bismo trošili manje novac.;sentences.explanations.genitive;tense_future;sentences.instructions.tense_future;Kuhat ćemo kod kuće kako bismo trošili manje novca.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-014;Rezerwuję pokój z widokiem na morze.;Rezerviram sobu s pogledom na more.;;B1;travel;instrumental;translation|builder|gap|correction|transform;Rezerviram sobu s ___ na more.;pogledom;Rezerviram sobu s pogled na more.;sentences.explanations.instrumental;tense_future;sentences.instructions.tense_future;Rezervirat ću sobu s pogledom na more.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-015;Porównuję ceny, zanim zdecyduję, co kupić.;Uspoređujem cijene prije nego što odlučim što kupiti.;;B1;shopping;object;translation|builder|gap|correction|transform;Uspoređujem ___ prije nego što odlučim što kupiti.;cijene;Uspoređujem cijena prije nego što odlučim što kupiti.;sentences.explanations.object;tense_future;sentences.instructions.tense_future;Uspoređivat ću cijene prije nego što odlučim što kupiti.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-016;Spędzamy więcej czasu z rodziną, kiedy mamy wolne.;Provodimo više vremena s obitelji kad smo slobodni.;;B1;family;instrumental;translation|builder|gap|correction|transform;Provodimo više vremena s ___ kad smo slobodni.;obitelji;Provodimo više vremena s obitelj kad smo slobodni.;sentences.explanations.instrumental;tense_future;sentences.instructions.tense_future;Provodit ćemo više vremena s obitelji kad budemo slobodni.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-017;Wyjeżdżamy wcześnie, żeby uniknąć korków.;Krećemo rano kako bismo izbjegli gužvu.;;B1;time;object;translation|builder|gap|correction|transform;Krećemo rano kako bismo izbjegli ___.;gužvu;Krećemo rano kako bismo izbjegli gužva.;sentences.explanations.object;tense_future;sentences.instructions.tense_future;Krenut ćemo rano kako bismo izbjegli gužvu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-018;Ćwiczę codziennie, żeby lepiej grać na gitarze.;Vježbam svaki dan kako bih bolje svirao gitaru.;;B1;hobby;object;translation|builder|gap|correction|transform;Vježbam svaki dan kako bih bolje svirao ___.;gitaru;Vježbam svaki dan kako bih bolje svirao gitara.;sentences.explanations.object;tense_future;sentences.instructions.tense_future;Vježbat ću svaki dan kako bih bolje svirao gitaru.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-019;Odpoczywamy po treningu, ponieważ jesteśmy zmęczeni.;Odmaramo se nakon treninga jer smo umorni.;;B1;sport;gender;translation|builder|gap|correction|transform;Odmaramo se nakon treninga jer smo ___.;umorni;Odmaramo se nakon treninga jer smo umoran.;sentences.explanations.gender;tense_future;sentences.instructions.tense_future;Odmarat ćemo se nakon treninga jer ćemo biti umorni.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-b1-020;Zapisuję obowiązki, żeby o niczym nie zapomnieć.;Zapisujem obveze kako ništa ne bih zaboravila.;;B1;daily;object;translation|builder|gap|correction|transform;Zapisujem ___ kako ništa ne bih zaboravila.;obveze;Zapisujem obveza kako ništa ne bih zaboravila.;sentences.explanations.object;tense_future;sentences.instructions.tense_future;Zapisivat ću obveze kako ništa ne bih zaboravila.;own;Lexodromia;;LicenseRef-Lexodromia-own
