Rank;Polish;Croatian;PartOfSpeech;Grammar;ExampleCroatian;ExamplePolish;FalseFriend;FalseFriendNote;Tags;AcceptedAnswers
26;kochać;voljeti;verb;"niedokonany; 1. os.: volim; voljeti może znaczyć kochać lub lubić";Ona voli svoju djecu.;Ona kocha swoje dzieci.;NO;;HR_0001_0500 verb emotions;[]
27;wracać;vraćati se;verb;1. os. sing.: vraćam se - povratni;Vraćam se za pola sata.;Wracam za pół godziny.;NO;;HR_0001_0500 verb;[]
28;jechać;voziti se;verb;1. os. sing.: vozim se - povratni;Vozim se tramvajem na posao.;Jadę tramwajem do pracy.;NO;;HR_0001_0500 verb travel transportation;[]
29;prowadzić samochód;voziti;verb;1. os. sing.: vozim;Vozim polako po gradu.;Prowadzę wolno po mieście.;NO;;HR_0001_0500 verb transportation;[]
30;kupować;kupovati;verb;1. os. sing.: kupujem;Kupujem kruh svaki dan.;Kupuję chleb codziennie.;NO;;HR_0001_0500 verb shopping;[]
31;zapłacić;platiti;verb;1. os. sing.: platim;Mogu li platiti karticom?;Mogę zapłacić kartą?;NO;;HR_0001_0500 verb shopping;[]
32;jeść;jesti;verb;1. os. sing.: jedem;Jedemo u sedam.;Jemy o siódmej.;NO;;HR_0001_0500 verb food;[]
33;pić;piti;verb;1. os. sing.: pijem;Pijem samo vodu.;Piję tylko wodę.;NO;;HR_0001_0500 verb food;[]
34;spać;spavati;verb;1. os. sing.: spavam;Djeca već spavaju.;Dzieci już śpią.;NO;;HR_0001_0500 verb home;[]
35;wstawać;ustajati;verb;"niedokonany; 1. os.: ustajem";Ustajem u šest.;Wstaję o szóstej.;NO;;HR_0001_0500 verb time;[]
36;otworzyć;otvoriti;verb;1. os. sing.: otvorim;Možeš li otvoriti prozor?;Możesz otworzyć okno?;NO;;HR_0001_0500 verb;[]
37;zamknąć;zatvoriti;verb;1. os. sing.: zatvorim;Zatvori vrata molim te.;Zamknij drzwi proszę.;NO;;HR_0001_0500 verb;[]
38;czytać;čitati;verb;1. os. sing.: čitam;Čitam knjigu prije spavanja.;Czytam książkę przed snem.;NO;;HR_0001_0500 verb media;[]
39;pisać;pisati;verb;1. os. sing.: pišem;Pišem mu poruku.;Piszę do niego wiadomość.;NO;;HR_0001_0500 verb;[]
40;dzwonić;zvati;verb;1. os. sing.: zovem - zvati telefonom;Zvat ću te večeras.;Zadzwonię do ciebie wieczorem.;NO;;HR_0001_0500 verb conversation;[]
41;słuchać;slušati;verb;1. os. sing.: slušam;Slušam glazbu u autu.;Słucham muzyki w samochodzie.;NO;;HR_0001_0500 verb media;[]
42;słyszeć;čuti;verb;1. os. sing.: čujem;Čuješ li me sada?;Słyszysz mnie teraz?;NO;;HR_0001_0500 verb conversation;[]
43;uczyć się;učiti;verb;1. os. sing.: učim;Učim hrvatski dvije godine.;Uczę się chorwackiego dwa lata.;NO;;HR_0001_0500 verb;[]
44;pamiętać;pamtiti;verb;1. os. sing.: pamtim - sjećati se czegoś: gen.;Ne pamtim njegovo ime.;Nie pamiętam jego imienia.;NO;;HR_0001_0500 verb;[]
45;zapomnieć;zaboraviti;verb;1. os. sing.: zaboravim;Zaboravio sam ključeve.;Zapomniałem kluczy.;NO;;HR_0001_0500 verb;[]
46;pomóc;pomoći;verb;1. os. sing.: pomognem - komu: dat.;Možeš li mi pomoći?;Możesz mi pomóc?;NO;;HR_0001_0500 verb conversation;[]
47;próbować;probati;verb;1. os. sing.: probam;Probaj ovo vino.;Spróbuj tego wina.;NO;;HR_0001_0500 verb food;[]
48;zaczynać;počinjati;verb;"niedokonany; 1. os.: počinjem";Film počinje u osam.;Film zaczyna się o ósmej.;NO;;HR_0001_0500 verb time;[]
49;skończyć;završiti;verb;1. os. sing.: završim;Završio sam s poslom.;Skończyłem z pracą.;NO;;HR_0001_0500 verb work;[]
50;zostać;ostati;verb;1. os. sing.: ostanem;Ostani još malo.;Zostań jeszcze chwilę.;NO;;HR_0001_0500 verb;[]
51;dziękować;zahvaliti;verb;1. os. sing.: zahvalim - komu: dat.;Želim ti zahvaliti na pomoći.;Chcę ci podziękować za pomoc.;NO;;HR_0001_0500 verb conversation;[]
52;prosić;moliti;verb;1. os. sing.: molim;Molim te za uslugu.;Proszę cię o przysługę.;NO;;HR_0001_0500 verb conversation;[]
53;i;i;conjunction;;Kruh i mlijeko molim.;Chleb i mleko proszę.;NO;;HR_0001_0500 conjunction;[]
54;a (przeciwnie);a;conjunction;;Ja idem a ti ostani.;Ja idę a ty zostań.;NO;;HR_0001_0500 conjunction;[]
55;ale;ali;conjunction;;Volio bih ali ne mogu.;Chciałbym ale nie mogę.;NO;;HR_0001_0500 conjunction;[]
56;albo;ili;conjunction;;Kava ili čaj?;Kawa albo herbata?;NO;;HR_0001_0500 conjunction;[]
57;że;da;conjunction;;Mislim da je to dobra ideja.;Myślę że to dobry pomysł.;NO;;HR_0001_0500 conjunction;[]
58;bo;jer;conjunction;;Ne idem jer sam bolestan.;Nie idę bo jestem chory.;NO;;HR_0001_0500 conjunction;[]
59;jeśli;ako;conjunction;;Ako možeš dođi ranije.;Jeśli możesz przyjdź wcześniej.;NO;;HR_0001_0500 conjunction;[]
60;kiedy (spójnik);kad;conjunction;;Nazovi me kad stigneš.;Zadzwoń do mnie kiedy dojedziesz.;NO;;HR_0001_0500 conjunction time;[]
61;nie;ne;particle;;Ne znam ništa o tome.;Nie wiem nic o tym.;NO;;HR_0001_0500 conversation;[]
62;tak (potwierdzenie);da;particle;;Da naravno da hoću.;Tak oczywiście że chcę.;NO;;HR_0001_0500 conversation;[]
63;w (miejsce);u;preposition;+ lokativ - miejsce lub + akuzativ kierunek;Sada sam u uredu.;Jestem teraz w biurze.;NO;;HR_0001_0500 preposition;[]
64;na;na;preposition;+ lokativ lub akuzativ;Čekam te na kolodvoru.;Czekam na ciebie na dworcu.;NO;;HR_0001_0500 preposition;[]
65;z (razem z);s;preposition;+ instrumental - przed s š z ž: sa;Idem s prijateljem.;Idę z przyjacielem.;NO;;HR_0001_0500 preposition;[]
66;z (skąd);iz;preposition;+ genitiv;Dolazim iz Poljske.;Pochodzę z Polski.;NO;;HR_0001_0500 preposition travel;[]
67;od;od;preposition;+ genitiv;Dobio sam pismo od nje.;Dostałem list od niej.;NO;;HR_0001_0500 preposition;[]
68;do (kierunek);do;preposition;+ genitiv;Idem do banke.;Idę do banku.;NO;;HR_0001_0500 preposition;[]
69;dla;za;preposition;+ akuzativ;Ovo je za tebe.;To jest dla ciebie.;NO;;HR_0001_0500 preposition;[]
70;o (na temat);o;preposition;+ lokativ;Razgovarali smo o poslu.;Rozmawialiśmy o pracy.;NO;;HR_0001_0500 preposition;[]
71;bez;bez;preposition;+ genitiv;Kava bez šećera molim.;Kawa bez cukru proszę.;NO;;HR_0001_0500 preposition food;[]
72;przed (miejsce);pred;preposition;+ instrumental lub akuzativ;Čekam pred kućom.;Czekam przed domem.;NO;;HR_0001_0500 preposition;[]
73;po (czas);nakon;preposition;+ genitiv;Nakon posla idem trenirati.;Po pracy idę trenować.;NO;;HR_0001_0500 preposition time;[]
74;przy;kod;preposition;+ genitiv - u kogoś lub obok;Bio sam kod doktora.;Byłem u lekarza.;YES;kod nie znaczy kod ani kodu - to przyimek u lub obok;HR_0001_0500 preposition;[]
75;między;između;preposition;+ genitiv;Sjedim između njih.;Siedzę między nimi.;NO;;HR_0001_0500 preposition;[]
76;pod;pod;preposition;+ instrumental lub akuzativ;Torba je pod stolom.;Torba jest pod stołem.;NO;;HR_0001_0500 preposition;[]
77;nad;nad;preposition;+ instrumental;Slika visi nad kaminom.;Obraz wisi nad kominkiem.;NO;;HR_0001_0500 preposition;[]
78;przez (przestrzeń);kroz;preposition;+ akuzativ;Prošli smo kroz park.;Przeszliśmy przez park.;NO;;HR_0001_0500 preposition;[]
79;ja;ja;pronoun;dat. meni - ak. mene;Ja to nisam rekao.;Ja tego nie powiedziałem.;NO;;HR_0001_0500 pronoun;[]
80;ty;ti;pronoun;dat. tebi - ak. tebe;A što ti misliš?;A co ty myślisz?;NO;;HR_0001_0500 pronoun;[]
81;on;on;pronoun;dat. njemu - ak. njega;On nije kod kuće.;Jego nie ma w domu.;NO;;HR_0001_0500 pronoun;[]
82;ona;ona;pronoun;dat. njoj - ak. nju;Ona živi u Splitu.;Ona mieszka w Splicie.;NO;;HR_0001_0500 pronoun;[]
83;my;mi;pronoun;dat. nama - ak. nas;Mi idemo pješice.;My idziemy pieszo.;NO;;HR_0001_0500 pronoun;[]
84;wy;vi;pronoun;dat. vama - forma grzecznościowa: Vi;Gdje ste vi bili?;Gdzie wy byliście?;NO;;HR_0001_0500 pronoun;[]
85;oni;oni;pronoun;ž. mn. one - dat. njima;Oni dolaze sutra.;Oni przyjeżdżają jutro.;NO;;HR_0001_0500 pronoun;[]
86;kto;tko;pronoun;dat. komu - ak. koga;Tko je to bio?;Kto to był?;NO;;HR_0001_0500 pronoun questions;[]
87;co;što;pronoun;dat. čemu - ak. što;Što se dogodilo?;Co się stało?;NO;;HR_0001_0500 pronoun questions;[]
88;który;koji;pronoun;ž. koja - s. koje;Koji autobus ide u centar?;Który autobus jedzie do centrum?;NO;;HR_0001_0500 pronoun questions;[]
89;gdzie;gdje;adverb;;Gdje si sada?;Gdzie teraz jesteś?;NO;;HR_0001_0500 adverb questions;[]
90;jak;kako;adverb;;Kako si danas?;Jak się dzisiaj masz?;NO;;HR_0001_0500 adverb questions conversation;[]
91;dlaczego;zašto;adverb;;Zašto mi nisi rekao?;Dlaczego mi nie powiedziałeś?;NO;;HR_0001_0500 adverb questions;[]
92;kiedy (pytanie);kada;adverb;krócej: kad;Kada krećemo?;Kiedy ruszamy?;NO;;HR_0001_0500 adverb questions time;"[""kad""]"
93;ile;koliko;adverb;;Koliko to košta?;Ile to kosztuje?;NO;;HR_0001_0500 adverb questions shopping;[]
94;ten;ovaj;pronoun;ž. ova - s. ovo - blisko mówiącego;Ovaj stol je slobodan.;Ten stolik jest wolny.;NO;;HR_0001_0500 pronoun;[]
95;tamten;onaj;pronoun;ž. ona - s. ono - daleko;Onaj čovjek nas gleda.;Tamten człowiek na nas patrzy.;NO;;HR_0001_0500 pronoun;[]
96;taki;takav;adjective;ž. takva - s. takvo;Nikad nisam vidio takav auto.;Nigdy nie widziałem takiego samochodu.;NO;;HR_0001_0500 adjective;[]
97;mój;moj;pronoun;ž. moja - s. moje;To je moj brat.;To jest mój brat.;NO;;HR_0001_0500 pronoun people;[]
98;twój;tvoj;pronoun;ž. tvoja - s. tvoje;Je li ovo tvoj mobitel?;Czy to twój telefon?;NO;;HR_0001_0500 pronoun;[]
99;nasz;naš;pronoun;ž. naša - s. naše;Naš stan je malen.;Nasze mieszkanie jest małe.;NO;;HR_0001_0500 pronoun home;[]
100;swój;svoj;pronoun;zaimek zwrotny dzierżawczy - odmiana jak moj;Uzmi svoje stvari.;Weź swoje rzeczy.;NO;;HR_0001_0500 pronoun;[]
101;wszystko;sve;pronoun;nieodm. w tym znaczeniu;Sve je u redu.;Wszystko jest w porządku.;NO;;HR_0001_0500 pronoun conversation;[]
102;wszyscy;svi;pronoun;ž. sve - s. sva;Svi su već otišli.;Wszyscy już wyszli.;NO;;HR_0001_0500 pronoun people;[]
103;coś;nešto;pronoun;;Moram ti nešto pokazati.;Muszę ci coś pokazać.;NO;;HR_0001_0500 pronoun;[]
104;ktoś;netko;pronoun;standard hrvatski - nie neko;Netko te traži.;Ktoś cię szuka.;NO;;HR_0001_0500 pronoun people;[]
105;nic;ništa;pronoun;;Nemam ništa protiv.;Nie mam nic przeciw.;NO;;HR_0001_0500 pronoun conversation;[]
106;nikt;nitko;pronoun;standard hrvatski - nie niko;Nitko nije došao.;Nikt nie przyszedł.;NO;;HR_0001_0500 pronoun people;[]
107;każdy;svaki;adjective;ž. svaka - s. svako;Idem tamo svaki dan.;Chodzę tam codziennie.;NO;;HR_0001_0500 adjective time;[]
108;inny;drugi;adjective;znaczy też drugi w kolejności;Daj mi drugu čašu.;Daj mi inną szklankę.;YES;drugi znaczy inny oraz drugi - kontekst decyduje;HR_0001_0500 adjective;[]
109;sam (osobiście);sam;adjective;ž. sama - s. samo;Živim sam.;Mieszkam sam.;NO;;HR_0001_0500 adjective;[]
110;dobry;dobar;adjective;ž. dobra - komp. bolji;Ovo je dobar restoran.;To jest dobra restauracja.;NO;;HR_0001_0500 adjective;[]
111;zły (niedobry);loš;adjective;ž. loša - komp. gori;Vrijeme je danas loše.;Pogoda jest dzisiaj zła.;NO;;HR_0001_0500 adjective;[]
112;duży;velik;adjective;ž. velika - komp. veći;Imaju veliku kuću.;Mają duży dom.;NO;;HR_0001_0500 adjective;[]
113;mały;malen;adjective;częściej: mali - komp. manji;Stan je malen ali svijetao.;Mieszkanie jest małe ale jasne.;NO;;HR_0001_0500 adjective;"[""mali""]"
114;nowy;nov;adjective;ž. nova - komp. noviji;Kupili smo novi auto.;Kupiliśmy nowy samochód.;NO;;HR_0001_0500 adjective;[]
115;stary;star;adjective;ž. stara - komp. stariji;Ova zgrada je vrlo stara.;Ten budynek jest bardzo stary.;NO;;HR_0001_0500 adjective;[]
116;młody;mlad;adjective;ž. mlada - komp. mlađi;Još je mlad za to.;Jest jeszcze na to młody.;NO;;HR_0001_0500 adjective people;[]
117;długi;dugačak;adjective;częściej: dug - komp. dulji;Put je bio dugačak.;Droga była długa.;NO;;HR_0001_0500 adjective;"[""dug""]"
118;krótki;kratak;adjective;ž. kratka - komp. kraći;Imamo kratku pauzu.;Mamy krótką przerwę.;NO;;HR_0001_0500 adjective time;[]
119;wysoki;visok;adjective;komp. viši;Brat mi je vrlo visok.;Mój brat jest bardzo wysoki.;NO;;HR_0001_0500 adjective people;[]
120;niski;nizak;adjective;ž. niska - komp. niži;Strop je prenizak.;Sufit jest za niski.;NO;;HR_0001_0500 adjective;[]
121;łatwy;lagan;adjective;też: jednostavan - komp. lakši;Ispit je bio lagan.;Egzamin był łatwy.;NO;;HR_0001_0500 adjective;"[""lak"",""jednostavan""]"
122;trudny;težak;adjective;ž. teška - znaczy też ciężki;Ovo je teško pitanje.;To jest trudne pytanie.;NO;;HR_0001_0500 adjective;[]
123;piękny;lijep;adjective;ž. lijepa - komp. ljepši;Danas je lijep dan.;Dzisiaj jest piękny dzień.;NO;;HR_0001_0500 adjective;[]
124;brzydki;ružan;adjective;ž. ružna;Zgrada je stvarno ružna.;Budynek jest naprawdę brzydki.;NO;;HR_0001_0500 adjective;[]
125;drogi (kosztowny);skup;adjective;ž. skupa - komp. skuplji;Previše je skupo.;To za drogie.;NO;;HR_0001_0500 adjective shopping;[]
126;tani;jeftin;adjective;komp. jeftiniji;Našao sam jeftin hotel.;Znalazłem tani hotel.;NO;;HR_0001_0500 adjective shopping travel;[]
127;szybki;brz;adjective;ž. brza - komp. brži;Vlak je brži od autobusa.;Pociąg jest szybszy od autobusu.;NO;;HR_0001_0500 adjective transportation;[]
128;wolny (nieszybki);spor;adjective;komp. sporiji;Internet je danas spor.;Internet jest dzisiaj wolny.;NO;;HR_0001_0500 adjective;[]
129;ważny;važan;adjective;ž. važna;Ovo je važan sastanak.;To jest ważne spotkanie.;NO;;HR_0001_0500 adjective work;[]
130;prawdziwy;pravi;adjective;znaczy też właściwy;To je pravi problem.;To jest prawdziwy problem.;NO;;HR_0001_0500 adjective;[]
131;pełny;pun;adjective;ž. puna - czego: gen.;Autobus je bio pun.;Autobus był pełny.;NO;;HR_0001_0500 adjective;[]
132;pusty;prazan;adjective;ž. prazna;Frižider je prazan.;Lodówka jest pusta.;NO;;HR_0001_0500 adjective home;[]
133;czysty;čist;adjective;komp. čišći;Soba je sada čista.;Pokój jest teraz czysty.;NO;;HR_0001_0500 adjective home;[]
134;brudny;prljav;adjective;ž. prljava;Ruke su ti prljave.;Masz brudne ręce.;NO;;HR_0001_0500 adjective home;[]
135;ciepły;topao;adjective;ž. topla;Juha je još topla.;Zupa jest jeszcze ciepła.;NO;;HR_0001_0500 adjective food;[]
136;zimny;hladan;adjective;ž. hladna - komp. hladniji;Voda je previše hladna.;Woda jest za zimna.;NO;;HR_0001_0500 adjective;[]
137;gorący;vruć;adjective;ž. vruća;Pazi tanjur je vruć.;Uważaj talerz jest gorący.;NO;;HR_0001_0500 adjective food;[]
138;szczęśliwy;sretan;adjective;ž. sretna - standard hrvatski;Danas sam vrlo sretan.;Jestem dzisiaj bardzo szczęśliwy.;NO;;HR_0001_0500 adjective emotions;[]
139;smutny;tužan;adjective;ž. tužna;Zvučiš tužno.;Brzmisz smutno.;NO;;HR_0001_0500 adjective emotions;[]
140;zmęczony;umoran;adjective;ž. umorna;Umoran sam od posla.;Jestem zmęczony pracą.;NO;;HR_0001_0500 adjective emotions;[]
141;głodny;gladan;adjective;ž. gladna;Jesi li gladan?;Jesteś głodny?;NO;;HR_0001_0500 adjective food;[]
142;chory;bolestan;adjective;ž. bolesna;Dijete je bolesno.;Dziecko jest chore.;NO;;HR_0001_0500 adjective;[]
143;zdrowy;zdrav;adjective;komp. zdraviji;Sada je opet zdrav.;Teraz jest znowu zdrowy.;NO;;HR_0001_0500 adjective;[]
144;człowiek;čovjek;noun;rodzaj męski - mn. ljudi;On je dobar čovjek.;On jest dobrym człowiekiem.;NO;;HR_0001_0500 noun people;[]
145;ludzie;ljudi;noun;rodzaj męski mn. - od čovjek;Ovdje ima previše ljudi.;Jest tu za dużo ludzi.;NO;;HR_0001_0500 noun people;[]
146;mężczyzna;muškarac;noun;rodzaj męski - mn. muškarci;Onaj muškarac radi sa mnom.;Tamten mężczyzna pracuje ze mną.;NO;;HR_0001_0500 noun people;[]
147;kobieta;žena;noun;rodzaj żeński - znaczy też żona;Ta žena je moja šefica.;Ta kobieta jest moją szefową.;NO;;HR_0001_0500 noun people;[]
148;dziecko;dijete;noun;rodzaj nijaki - mn. djeca;Dijete spava u sobi.;Dziecko śpi w pokoju.;NO;;HR_0001_0500 noun people;[]
149;chłopiec;dječak;noun;rodzaj męski - mn. dječaci;Dječak igra nogomet.;Chłopiec gra w piłkę.;NO;;HR_0001_0500 noun people;[]
150;dziewczynka;djevojčica;noun;rodzaj żeński;Djevojčica ide u školu.;Dziewczynka idzie do szkoły.;NO;;HR_0001_0500 noun people;[]
151;przyjaciel;prijatelj;noun;rodzaj męski - ž. prijateljica;Idem s prijateljem na kavu.;Idę z przyjacielem na kawę.;NO;;HR_0001_0500 noun people;[]
152;rodzina;obitelj;noun;rodzaj żeński - nie familija;Cijela obitelj je došla.;Cała rodzina przyjechała.;NO;;HR_0001_0500 noun people home;[]
153;matka;majka;noun;rodzaj żeński - potocznie mama;Majka mi često zove.;Matka często do mnie dzwoni.;NO;;HR_0001_0500 noun people;[]
154;ojciec;otac;noun;rodzaj męski - gen. oca;Otac radi u tvornici.;Ojciec pracuje w fabryce.;NO;;HR_0001_0500 noun people;[]
155;brat;brat;noun;rodzaj męski - mn. braća;Brat mi živi u Rijeci.;Mój brat mieszka w Rijece.;NO;;HR_0001_0500 noun people;[]
156;siostra;sestra;noun;rodzaj żeński;Sestra mi je mlađa.;Moja siostra jest młodsza.;NO;;HR_0001_0500 noun people;[]
157;syn;sin;noun;rodzaj męski - mn. sinovi;Sin ide u prvi razred.;Syn idzie do pierwszej klasy.;NO;;HR_0001_0500 noun people;[]
158;córka;kći;noun;rodzaj żeński - też: kćerka;Kći studira u Zagrebu.;Córka studiuje w Zagrzebiu.;NO;;HR_0001_0500 noun people;"[""kćerka""]"
159;mąż;muž;noun;rodzaj męski - mn. muževi;Muž mi kuha večeru.;Mąż gotuje mi kolację.;NO;;HR_0001_0500 noun people;[]
160;żona;supruga;noun;rodzaj żeński - też: žena;Supruga radi od doma.;Żona pracuje z domu.;NO;;HR_0001_0500 noun people;"[""žena""]"
161;dzień;dan;noun;rodzaj męski - mn. dani;Bio je dug dan.;To był długi dzień.;NO;;HR_0001_0500 noun time;[]
162;noc;noć;noun;rodzaj żeński - gen. noći;Cijelu noć nisam spavao.;Całą noc nie spałem.;NO;;HR_0001_0500 noun time;[]
163;poranek;jutro;noun;rodzaj nijaki;Jutro je uvijek mirno.;Poranek jest zawsze spokojny.;YES;"Chorwackie jutro oznacza poranek; polskie jutro to po chorwacku sutra.";HR_0001_0500 noun time;[]
164;jutro;sutra;adverb;;Vidimo se sutra.;Do zobaczenia jutro.;NO;;HR_0001_0500 adverb time;[]
165;dzisiaj;danas;adverb;;Danas nemam vremena.;Dzisiaj nie mam czasu.;NO;;HR_0001_0500 adverb time;[]
166;wczoraj;jučer;adverb;standard hrvatski - nie juče;Jučer sam bio na moru.;Wczoraj byłem nad morzem.;NO;;HR_0001_0500 adverb time;[]
167;wieczór;večer;noun;rodzaj żeński - večeras dziś wieczorem;Večer je bila predivna.;Wieczór był przecudny.;NO;;HR_0001_0500 noun time;[]
168;tydzień;tjedan;noun;rodzaj męski - standard hrvatski nie nedjelja;Vidimo se za tjedan.;Zobaczymy się za tydzień.;NO;;HR_0001_0500 noun time;[]
169;miesiąc;mjesec;noun;rodzaj męski - znaczy też księżyc;Ovaj mjesec radim puno.;W tym miesiącu dużo pracuję.;NO;;HR_0001_0500 noun time;[]
170;rok;godina;noun;rodzaj żeński - mn. godine;Ovdje živim pet godina.;Mieszkam tu pięć lat.;NO;;HR_0001_0500 noun time;[]
171;czas;vrijeme;noun;rodzaj nijaki - gen. vremena - znaczy też pogoda;Nemam vremena za to.;Nie mam na to czasu.;NO;;HR_0001_0500 noun time;[]
172;pogoda;vrijeme;noun;rodzaj nijaki - to samo słowo co czas;Kakvo je vrijeme u Splitu?;Jaka jest pogoda w Splicie?;NO;;HR_0001_0500 noun time conversation;[]
173;godzina;sat;noun;rodzaj męski - mn. sati - znaczy też zegarek;Čekam već dva sata.;Czekam już dwie godziny.;NO;;HR_0001_0500 noun time;[]
174;minuta;minuta;noun;rodzaj żeński;Dođem za pet minuta.;Przyjdę za pięć minut.;NO;;HR_0001_0500 noun time;[]
175;teraz;sada;adverb;krócej: sad;Sada moram ići.;Teraz muszę iść.;NO;;HR_0001_0500 adverb time;"[""sad""]"
176;zawsze;uvijek;adverb;standard hrvatski - nie uvek;Uvijek kasniš.;Zawsze się spóźniasz.;NO;;HR_0001_0500 adverb time;[]
177;nigdy;nikad;adverb;też: nikada;Nikad nisam bio tamo.;Nigdy tam nie byłem.;NO;;HR_0001_0500 adverb time;"[""nikada""]"
178;często;često;adverb;;Često idemo na more.;Często jeździmy nad morze.;NO;;HR_0001_0500 adverb time;[]
179;rzadko;rijetko;adverb;;Rijetko gledam televiziju.;Rzadko oglądam telewizję.;NO;;HR_0001_0500 adverb time;[]
180;czasami;ponekad;adverb;też: katkad;Ponekad radim subotom.;Czasami pracuję w soboty.;NO;;HR_0001_0500 adverb time;"[""katkad""]"
181;już;već;adverb;;Već sam pojeo.;Już zjadłem.;NO;;HR_0001_0500 adverb time;[]
182;jeszcze;još;adverb;;Imamo još malo vremena.;Mamy jeszcze trochę czasu.;NO;;HR_0001_0500 adverb time;[]
183;dopiero;tek;adverb;;Tek sam došao.;Dopiero przyszedłem.;NO;;HR_0001_0500 adverb time;[]
184;wkrótce;uskoro;adverb;;Uskoro počinje sastanak.;Wkrótce zaczyna się spotkanie.;NO;;HR_0001_0500 adverb time work;[]
185;późno;kasno;adverb;przysłówek;Već je kasno.;Jest już późno.;NO;;HR_0001_0500 adverb time;[]
186;wcześnie;rano;adverb;uwaga - rano to przysłówek wcześnie;Ustao sam vrlo rano.;Wstałem bardzo wcześnie.;YES;rano znaczy wcześnie a nie rano - rano to jutro;HR_0001_0500 adverb time;[]
187;tutaj;ovdje;adverb;standard hrvatski - nie ovde;Sjedni ovdje kod mene.;Siądź tutaj przy mnie.;NO;;HR_0001_0500 adverb;[]
188;tam;tamo;adverb;;Bio sam tamo prošle godine.;Byłem tam w zeszłym roku.;NO;;HR_0001_0500 adverb;[]
