# phrase|conversation podstawy
zovem se|nazywam się|Zovem se Marko.|Nazywam się Marko.
trenutačno ne radim|obecnie nie pracuję|Trenutačno ne radim.|Obecnie nie pracuję.
učim hrvatski|uczę się chorwackiego|Učim hrvatski.|Uczę się chorwackiego.
govorim malo hrvatski|mówię trochę po chorwacku|Govorim malo hrvatski.|Mówię trochę po chorwacku.
ne govorim hrvatski|nie mówię po chorwacku|Ne govorim hrvatski.|Nie mówię po chorwacku.
govorite li engleski|czy mówi pan/pani po angielsku|Govorite li engleski.|Czy mówi pan/pani po angielsku.
možemo li govoriti poljski|czy możemy rozmawiać po polsku|Možemo li govoriti poljski.|Czy możemy rozmawiać po polsku.
možete li ponoviti|czy może pan/pani powtórzyć|Možete li ponoviti?|Czy może pan/pani powtórzyć?
molim vas, sporije|proszę wolniej|Molim vas, sporije.|Proszę wolniej.
nisam dobro čuo|nie dosłyszałem|Nisam dobro čuo.|Nie dosłyszałem.
nisam dobro razumio|nie zrozumiałem dobrze|Nisam dobro razumio.|Nie zrozumiałem dobrze.
kako se to kaže na hrvatskom|jak to się mówi po chorwacku|Kako se to kaže na hrvatskom?|Jak to się mówi po chorwacku?
kako se to piše|jak to się pisze|Kako se to piše?|Jak to się pisze?
možete li to napisati|czy może pan/pani to napisać|Možete li to napisati?|Czy może pan/pani to napisać?
možete li mi objasniti|czy może mi pan/pani wyjaśnić|Možete li mi objasniti?|Czy może mi pan/pani wyjaśnić?
ne znam tu riječ|nie znam tego słowa|Ne znam tu riječ.|Nie znam tego słowa.
što si rekao|co powiedziałeś|Što si rekao?|Co powiedziałeś?
jesam li dobro izgovorio|czy dobrze wymówiłem|Jesam li dobro izgovorio.|Czy dobrze wymówiłem.
ispravi me ako pogriješim|popraw mnie, jeśli się pomylę|Ispravi me ako pogriješim.|Popraw mnie, jeśli się pomylę.
pokušat ću na hrvatskom|spróbuję po chorwacku|Pokušat ću na hrvatskom.|Spróbuję po chorwacku.
još uvijek učim|nadal się uczę|Još uvijek učim.|Nadal się uczę.
zaboravio sam riječ|zapomniałem słowa|Zaboravio sam riječ.|Zapomniałem słowa.
razumijem više nego što govorim|rozumiem więcej, niż mówię|Razumijem više nego što govorim.|Rozumiem więcej, niż mówię.
kako se izgovara tvoje ime|jak wymawia się twoje imię|Kako se izgovara tvoje ime?|Jak wymawia się twoje imię?
možeš li mi dati primjer|czy możesz podać mi przykład|Možeš li mi dati primjer?|Czy możesz podać mi przykład?
sad mi je jasno|teraz rozumiem|Sad mi je jasno.|Teraz rozumiem.
ne znam kako to objasniti|nie wiem, jak to wyjaśnić|Ne znam kako to objasniti.|Nie wiem, jak to wyjaśnić.
htio sam reći|chciałem powiedzieć|Htio sam reći nešto drugo.|Chciałem powiedzieć coś innego.
mislim na|mam na myśli|Mislim na ovu knjigu.|Mam na myśli tę książkę.
ne mislim tako|nie uważam tak|Ne mislim tako.|Nie uważam tak.
razumiješ li me|czy mnie rozumiesz|Razumiješ li me.|Czy mnie rozumiesz.
čuješ li me|czy mnie słyszysz|Čuješ li me.|Czy mnie słyszysz.
vidiš li me|czy mnie widzisz|Vidiš li me.|Czy mnie widzisz.
oprosti što smetam|przepraszam, że przeszkadzam|Oprosti što smetam.|Przepraszam, że przeszkadzam.
imate li trenutak|czy ma pan/pani chwilę|Imate li trenutak?|Czy ma pan/pani chwilę?
mogu li nešto pitati|czy mogę o coś zapytać|Mogu li nešto pitati?|Czy mogę o coś zapytać?
mogu li proći|czy mogę przejść|Mogu li proći?|Czy mogę przejść?
izvolite|proszę, oto dla pana/pani|Izvolite vaš račun.|Proszę, oto pański rachunek.
izvoli|proszę, weź|Izvoli, ovo je za tebe.|Proszę, to dla ciebie.
samo trenutak|chwileczkę|Samo trenutak.|Chwileczkę.
pričekajte malo|proszę chwilę zaczekać|Pričekajte malo.|Proszę chwilę zaczekać.
hvala lijepa|bardzo dziękuję|Hvala lijepa.|Bardzo dziękuję.
hvala na pomoći|dziękuję za pomoc|Hvala na pomoći.|Dziękuję za pomoc.
hvala na pozivu|dziękuję za zaproszenie|Hvala na pozivu.|Dziękuję za zaproszenie.
hvala na svemu|dziękuję za wszystko|Hvala na svemu.|Dziękuję za wszystko.
hvala unaprijed|z góry dziękuję|Hvala unaprijed.|Z góry dziękuję.
puno ti hvala|wielkie dzięki|Puno ti hvala.|Wielkie dzięki.
od srca hvala|dziękuję z całego serca|Od srca hvala.|Dziękuję z całego serca.
ne treba|nie trzeba|Ne treba.|Nie trzeba.
u redu je|wszystko w porządku|U redu je.|Wszystko w porządku.
oprostite na smetnji|przepraszam za przeszkadzanie|Oprostite na smetnji.|Przepraszam za przeszkadzanie.
nisam htio|nie chciałem|Nisam htio.|Nie chciałem.
nisam namjerno|nie zrobiłem tego celowo|Nisam namjerno.|Nie zrobiłem tego celowo.
moja greška|mój błąd|Moja greška.|Mój błąd.
moja krivnja|moja wina|Moja krivnja.|Moja wina.
nemoj se ljutiti|nie gniewaj się|Nemoj se ljutiti.|Nie gniewaj się.
ne brini|nie martw się|Ne brini.|Nie martw się.
ništa se nije dogodilo|nic się nie stało|Ništa se nije dogodilo.|Nic się nie stało.
sve je u redu|wszystko jest w porządku|Sve je u redu.|Wszystko jest w porządku.
nema veze|nie szkodzi|Nema veze.|Nie szkodzi.
zaboravimo to|zapomnijmy o tym|Zaboravimo to.|Zapomnijmy o tym.
drago mi je što smo se upoznali|miło mi, że się poznaliśmy|Drago mi je što smo se upoznali.|Miło mi, że się poznaliśmy.
čuvaj se|uważaj na siebie|Čuvaj se.|Uważaj na siebie.
čujemo se|będziemy w kontakcie|Čujemo se.|Będziemy w kontakcie.
vidimo se sutra|do zobaczenia jutro|Vidimo se sutra.|Do zobaczenia jutro.
vidimo se uskoro|do zobaczenia wkrótce|Vidimo se uskoro.|Do zobaczenia wkrótce.
pozdravi obitelj|pozdrowienia dla rodziny|Pozdravi obitelj.|Pozdrowienia dla rodziny.
pozdrav svima|pozdrawiam wszystkich|Pozdrav svima.|Pozdrawiam wszystkich.
ugodan vikend|miłego weekendu|Ugodan vikend.|Miłego weekendu.
lijepo se provedi|baw się dobrze|Lijepo se provedi.|Baw się dobrze.
lijepo spavaj|śpij dobrze|Lijepo spavaj.|Śpij dobrze.
sretan rođendan|wszystkiego najlepszego z okazji urodzin|Sretan rođendan.|Wszystkiego najlepszego z okazji urodzin.
sretan Božić|wesołych świąt Bożego Narodzenia|Sretan Božić.|Wesołych świąt Bożego Narodzenia.
sretan Uskrs|wesołych świąt Wielkanocy|Sretan Uskrs.|Wesołych świąt Wielkanocy.
sretna Nova godina|szczęśliwego Nowego Roku|Sretna Nova godina.|Szczęśliwego Nowego Roku.
čestitam od srca|gratuluję z całego serca|Čestitam od srca.|Gratuluję z całego serca.
želim ti sve najbolje|życzę ci wszystkiego najlepszego|Želim ti sve najbolje.|Życzę ci wszystkiego najlepszego.
brz oporavak|szybkiego powrotu do zdrowia|Brz oporavak.|Szybkiego powrotu do zdrowia.
primi moju sućut|przyjmij moje kondolencje|Primi moju sućut.|Przyjmij moje kondolencje.
baš mi je žao|bardzo mi przykro|Baš mi je žao.|Bardzo mi przykro.
svaka čast|pełen szacunek|Svaka čast.|Pełen szacunek.
bravo za tebe|brawo dla ciebie|Bravo za tebe.|Brawo dla ciebie.
ponosan sam na tebe|jestem z ciebie dumny|Ponosan sam na tebe.|Jestem z ciebie dumny.
sretno na ispitu|powodzenia na egzaminie|Sretno na ispitu.|Powodzenia na egzaminie.
držim ti palčeve|trzymam za ciebie kciuki|Držim ti palčeve.|Trzymam za ciebie kciuki.
uživaj|ciesz się chwilą|Uživaj.|Ciesz się chwilą.
iznenadio si me|zaskoczyłeś mnie|Iznenadio si me.|Zaskoczyłeś mnie.
stvarno mi je drago|naprawdę się cieszę|Stvarno mi je drago.|Naprawdę się cieszę.
kakvo iznenađenje|co za niespodzianka|Kakvo iznenađenje.|Co za niespodzianka.
nisam to očekivao|nie spodziewałem się tego|Nisam to očekivao.|Nie spodziewałem się tego.
jedva čekam|nie mogę się doczekać|Jedva čekam.|Nie mogę się doczekać.
veselim se susretu|cieszę się na spotkanie|Veselim se susretu.|Cieszę się na spotkanie.
imaš li vremena|czy masz czas|Imaš li vremena?|Czy masz czas?
jesi li slobodan večeras|czy jesteś wolny dziś wieczorem|Jesi li slobodan večeras?|Czy jesteś wolny dziś wieczorem?
hoćemo li na kavu|może pójdziemy na kawę|Hoćemo li na kavu.|Może pójdziemy na kawę.
želiš li nam se pridružiti|czy chcesz do nas dołączyć|Želiš li nam se pridružiti?|Czy chcesz do nas dołączyć?
mogu li povesti prijatelja|czy mogę zabrać kolegę|Mogu li povesti prijatelja?|Czy mogę zabrać kolegę?
što kažeš na subotu|co powiesz na sobotę|Što kažeš na subotu?|Co powiesz na sobotę?
gdje ćemo se naći|gdzie się spotkamy|Gdje ćemo se naći?|Gdzie się spotkamy?
u koliko sati|o której godzinie|U koliko sati.|O której godzinie.
meni odgovara|mnie pasuje|Meni odgovara.|Mnie pasuje.
meni ne odgovara|mnie nie pasuje|Meni ne odgovara.|Mnie nie pasuje.
dogovoreno|umowa stoi|Dogovoreno.|Umowa stoi.
može i ranije|może być też wcześniej|Može i ranije.|Może być też wcześniej.
radije neki drugi dan|wolałbym innego dnia|Radije neki drugi dan.|Wolałbym innego dnia.
javim ti na vrijeme|dam ci znać na czas|Javim ti na vrijeme.|Dam ci znać na czas.
kasnim deset minuta|spóźnię się dziesięć minut|Kasnim deset minuta.|Spóźnię się dziesięć minut.
na putu sam|jestem w drodze|Na putu sam.|Jestem w drodze.
već sam stigao|już dotarłem|Već sam stigao.|Już dotarłem.
čekam te ispred|czekam na ciebie przed|Čekam te ispred hotela.|Czekam na ciebie przed hotelem.
stižem uskoro|zaraz będę|Stižem uskoro.|Zaraz będę.
nemoj me čekati|nie czekaj na mnie|Nemoj me čekati.|Nie czekaj na mnie.
moram otkazati|muszę odwołać|Moram otkazati.|Muszę odwołać.
nešto mi je iskrsnulo|coś mi wypadło|Nešto mi je iskrsnulo.|Coś mi wypadło.
možemo li pomaknuti sastanak|czy możemy przesunąć spotkanie|Možemo li pomaknuti sastanak.|Czy możemy przesunąć spotkanie.
hvala što si došao|dziękuję, że przyszedłeś|Hvala što si došao.|Dziękuję, że przyszedłeś.
uđi slobodno|wejdź śmiało|Uđi slobodno.|Wejdź śmiało.
osjećaj se kao kod kuće|czuj się jak u siebie|Osjećaj se kao kod kuće.|Czuj się jak u siebie.
mogu li ti nešto ponuditi|czy mogę ci coś zaproponować|Mogu li ti nešto ponuditi?|Czy mogę ci coś zaproponować?
želiš li nešto popiti|czy chcesz się czegoś napić|Želiš li nešto popiti?|Czy chcesz się czegoś napić?
posluži se|poczęstuj się|Posluži se.|Poczęstuj się.
sjedi gdje želiš|usiądź, gdzie chcesz|Sjedi gdje želiš.|Usiądź, gdzie chcesz.
izuj cipele|zdejmij buty|Izuj cipele.|Zdejmij buty.
ne moraš se izuvati|nie musisz zdejmować butów|Ne moraš se izuvati.|Nie musisz zdejmować butów.
ovo je za tebe|to dla ciebie|Ovo je za tebe.|To dla ciebie.
nisi trebao|nie trzeba było|Nisi trebao.|Nie trzeba było.
hvala na gostoprimstvu|dziękuję za gościnę|Hvala na gostoprimstvu.|Dziękuję za gościnę.
bilo je odlično|było świetnie|Bilo je odlično.|Było świetnie.
moram polako krenuti|muszę już powoli ruszać|Moram polako krenuti.|Muszę już powoli ruszać.
otpratit ću te|odprowadzę cię|Otpratit ću te.|Odprowadzę cię.
javi kad stigneš|daj znać, kiedy dotrzesz|Javi kad stigneš.|Daj znać, kiedy dotrzesz.
kako ti se sviđa|jak ci się podoba|Kako ti se sviđa?|Jak ci się podoba?
sviđa mi se|podoba mi się|Sviđa mi se.|Podoba mi się.
ne sviđa mi se|nie podoba mi się|Ne sviđa mi se.|Nie podoba mi się.
baš je lijepo|jest naprawdę ładnie|Baš je lijepo.|Jest naprawdę ładnie.
nije moj stil|to nie mój styl|Nije moj stil.|To nie mój styl.
što preporučuješ|co polecasz|Što preporučuješ?|Co polecasz?
preporučujem ti|polecam ci|Preporučujem ti ovu knjigu.|Polecam ci tę książkę.
ti odluči|ty zdecyduj|Ti odluči.|Ty zdecyduj.
kako god želiš|jakkolwiek zechcesz|Kako god želiš?|Jakkolwiek zechcesz?
slažem se s tobom|zgadzam się z tobą|Slažem se s tobom.|Zgadzam się z tobą.
ne slažem se s tobom|nie zgadzam się z tobą|Ne slažem se s tobom.|Nie zgadzam się z tobą.
imaš pravo|masz rację|Imaš pravo.|Masz rację.
nemaš pravo|nie masz racji|Nemaš pravo.|Nie masz racji.
možda si u pravu|może masz rację|Možda si u pravu.|Może masz rację.
nisam siguran|nie jestem pewien|Nisam siguran.|Nie jestem pewien.
koliko ja znam|o ile wiem|Koliko ja znam?|O ile wiem?
koliko se sjećam|o ile pamiętam|Koliko se sjećam?|O ile pamiętam?
ako se ne varam|jeśli się nie mylę|Ako se ne varam.|Jeśli się nie mylę.
pošteno govoreći|uczciwie mówiąc|Pošteno govoreći.|Uczciwie mówiąc.
iskreno rečeno|szczerze mówiąc|Iskreno rečeno.|Szczerze mówiąc.
s jedne strane|z jednej strony|S jedne strane.|Z jednej strony.
s druge strane|z drugiej strony|S druge strane.|Z drugiej strony.
u svakom slučaju|w każdym razie|U svakom slučaju.|W każdym razie.
bez obzira na to|niezależnie od tego|Bez obzira na to.|Niezależnie od tego.
što se mene tiče|jeśli o mnie chodzi|Što se mene tiče?|Jeśli o mnie chodzi?
ima smisla|to ma sens|Ima smisla.|To ma sens.
nema smisla|to nie ma sensu|Nema smisla.|To nie ma sensu.
to je istina|to prawda|To je istina.|To prawda.
nije istina|to nieprawda|Nije istina.|To nieprawda.
nemam pojma|nie mam pojęcia|Nemam pojma.|Nie mam pojęcia.
teško je reći|trudno powiedzieć|Teško je reći.|Trudno powiedzieć.
ovisi o situaciji|to zależy od sytuacji|Ovisi o situaciji.|To zależy od sytuacji.
zvuči dobro|brzmi dobrze|Zvuči dobro.|Brzmi dobrze.
zvuči zanimljivo|brzmi interesująco|Zvuči zanimljivo.|Brzmi interesująco.
zvuči čudno|brzmi dziwnie|Zvuči čudno.|Brzmi dziwnie.
to me zanima|to mnie interesuje|To me zanima.|To mnie interesuje.
ne zanima me|nie interesuje mnie to|Ne zanima me.|Nie interesuje mnie to.
što misliš o tome|co o tym myślisz|Što misliš o tome?|Co o tym myślisz?
zašto tako misliš|dlaczego tak uważasz|Zašto tako misliš?|Dlaczego tak uważasz?
imaš li neki prijedlog|czy masz jakąś propozycję|Imaš li neki prijedlog?|Czy masz jakąś propozycję?
imaš li bolju ideju|czy masz lepszy pomysł|Imaš li bolju ideju?|Czy masz lepszy pomysł?
ne bih se složio|nie zgodziłbym się|Ne bih se složio.|Nie zgodziłbym się.
razumijem što želiš reći|rozumiem, co chcesz powiedzieć|Razumijem što želiš reći.|Rozumiem, co chcesz powiedzieć.
u tome je problem|w tym tkwi problem|U tome je problem.|W tym tkwi problem.
nije u tome stvar|nie o to chodzi|Nije u tome stvar.|Nie o to chodzi.
upravo o tome govorim|właśnie o tym mówię|Upravo o tome govorim.|Właśnie o tym mówię.
vratimo se na temu|wróćmy do tematu|Vratimo se na temu.|Wróćmy do tematu.
promijenimo temu|zmieńmy temat|Promijenimo temu.|Zmieńmy temat.
ne želim o tome razgovarati|nie chcę o tym rozmawiać|Ne želim o tome razgovarati.|Nie chcę o tym rozmawiać.
ostavimo to za kasnije|zostawmy to na później|Ostavimo to za kasnije.|Zostawmy to na później.
imaš li što dodati|czy masz coś do dodania|Imaš li što dodati?|Czy masz coś do dodania?
to je sve|to wszystko|To je sve.|To wszystko.
za sada toliko|na razie tyle|Za sada toliko.|Na razie tyle.
mogu li ti pomoći|czy mogę ci pomóc|Mogu li ti pomoći?|Czy mogę ci pomóc?
treba mi pomoć|potrzebuję pomocy|Treba mi pomoć.|Potrzebuję pomocy.
možeš li mi pomoći|czy możesz mi pomóc|Možeš li mi pomoći?|Czy możesz mi pomóc?
ne mogu sam|nie dam rady sam|Ne mogu sam.|Nie dam rady sam.
snaći ću se|poradzę sobie|Snaći ću se.|Poradzę sobie.
pusti mene|pozwól mnie to zrobić|Pusti mene.|Pozwól mnie to zrobić.
prepusti to meni|zostaw to mnie|Prepusti to meni.|Zostaw to mnie.
pokaži mi kako|pokaż mi jak|Pokaži mi kako.|Pokaż mi jak.
možeš li mi učiniti uslugu|czy możesz wyświadczyć mi przysługę|Možeš li mi učiniti uslugu?|Czy możesz wyświadczyć mi przysługę?
imaš li nešto protiv|czy masz coś przeciwko|Imaš li nešto protiv?|Czy masz coś przeciwko?
smeta li ti|czy ci przeszkadza|Smeta li ti.|Czy ci przeszkadza.
ne smeta mi|nie przeszkadza mi|Ne smeta mi.|Nie przeszkadza mi.
nemam ništa protiv|nie mam nic przeciwko|Nemam ništa protiv.|Nie mam nic przeciwko.
smijem li sjesti|czy mogę usiąść|Smijem li sjesti?|Czy mogę usiąść?
smijem li otvoriti prozor|czy mogę otworzyć okno|Smijem li otvoriti prozor?|Czy mogę otworzyć okno?
mogu li posuditi olovku|czy mogę pożyczyć długopis|Mogu li posuditi olovku?|Czy mogę pożyczyć długopis?
vratit ću ti sutra|oddam ci jutro|Vratit ću ti sutra.|Oddam ci jutro.
samo polako|spokojnie, bez pośpiechu|Samo polako.|Spokojnie, bez pośpiechu.
nema žurbe|nie ma pośpiechu|Nema žurbe.|Nie ma pośpiechu.
pazi na sebe|dbaj o siebie|Pazi na sebe.|Dbaj o siebie.
pazi gdje hodaš|uważaj, gdzie idziesz|Pazi gdje hodaš.|Uważaj, gdzie idziesz.
pazi na stepenice|uważaj na schody|Pazi na stepenice.|Uważaj na schody.
makni se malo|przesuń się trochę|Makni se malo.|Przesuń się trochę.
napravi mjesta|zrób miejsce|Napravi mjesta.|Zrób miejsce.
ostavi me na miru|zostaw mnie w spokoju|Ostavi me na miru.|Zostaw mnie w spokoju.
pusti me da završim|pozwól mi skończyć|Pusti me da završim.|Pozwól mi skończyć.
nemoj me prekidati|nie przerywaj mi|Nemoj me prekidati.|Nie przerywaj mi.
slušaj me do kraja|wysłuchaj mnie do końca|Slušaj me do kraja.|Wysłuchaj mnie do końca.
nije hitno|to nie jest pilne|Nije hitno.|To nie jest pilne.
to može pričekati|to może poczekać|To može pričekati.|To może poczekać.
učini to odmah|zrób to od razu|Učini to odmah.|Zrób to od razu.
nemoj zaboraviti|nie zapomnij|Nemoj zaboraviti.|Nie zapomnij.
podsjeti me kasnije|przypomnij mi później|Podsjeti me kasnije.|Przypomnij mi później.
ne mogu obećati|nie mogę obiecać|Ne mogu obećati.|Nie mogę obiecać.
dajem ti riječ|daję ci słowo|Dajem ti riječ.|Daję ci słowo.
možeš računati na mene|możesz na mnie liczyć|Možeš računati na mene.|Możesz na mnie liczyć.
vjeruj mi|uwierz mi|Vjeruj mi.|Uwierz mi.
ne vjerujem ti|nie wierzę ci|Ne vjerujem ti.|Nie wierzę ci.
šalim se|żartuję|Šalim se.|Żartuję.
ne šalim se|nie żartuję|Ne šalim se.|Nie żartuję.
nemoj to shvatiti ozbiljno|nie bierz tego na poważnie|Nemoj to shvatiti ozbiljno.|Nie bierz tego na poważnie.
nije smiješno|to nie jest śmieszne|Nije smiješno.|To nie jest śmieszne.
nasamario si me|nabrałeś mnie|Nasamario si me.|Nabrałeś mnie.
baš si me nasmijao|ale mnie rozśmieszyłeś|Baš si me nasmijao.|Ale mnie rozśmieszyłeś.
što se dogodilo|co się stało|Što se dogodilo?|Co się stało?
što nije u redu|co jest nie tak|Što nije u redu?|Co jest nie tak?
jesi li dobro|czy wszystko z tobą w porządku|Jesi li dobro?|Czy wszystko z tobą w porządku?
kako se osjećaš|jak się czujesz|Kako se osjećaš?|Jak się czujesz?
nisam najbolje|nie czuję się najlepiej|Nisam najbolje.|Nie czuję się najlepiej.
umoran sam|jestem zmęczony|Umoran sam.|Jestem zmęczony.
gladan sam|jestem głodny|Gladan sam.|Jestem głodny.
žedan sam|chce mi się pić|Žedan sam.|Chce mi się pić.
hladno mi je|jest mi zimno|Hladno mi je.|Jest mi zimno.
vruće mi je|jest mi gorąco|Vruće mi je.|Jest mi gorąco.
spava mi se|chce mi się spać|Spava mi se.|Chce mi się spać.
žuri mi se|spieszę się|Žuri mi se.|Spieszę się.
dosadno mi je|nudzę się|Dosadno mi je.|Nudzę się.
strah me je|boję się|Strah me je.|Boję się.
sram me je|wstydzę się|Sram me je.|Wstydzę się.
brinem se za tebe|martwię się o ciebie|Brinem se za tebe.|Martwię się o ciebie.
nedostaješ mi|tęsknię za tobą|Nedostaješ mi.|Tęsknię za tobą.
mislim na tebe|myślę o tobie|Mislim na tebe.|Myślę o tobie.
trebam malo mira|potrzebuję trochę spokoju|Trebam malo mira.|Potrzebuję trochę spokoju.
želim biti sam|chcę być sam|Želim biti sam.|Chcę być sam.
ne da mi se|nie chce mi się|Ne da mi se.|Nie chce mi się.
nemam volje|nie mam ochoty|Nemam volje.|Nie mam ochoty.
nemam snage|nie mam siły|Nemam snage.|Nie mam siły.
sve mi ide na živce|wszystko działa mi na nerwy|Sve mi ide na živce.|Wszystko działa mi na nerwy.
ljut sam na sebe|jestem zły na siebie|Ljut sam na sebe.|Jestem zły na siebie.
laknulo mi je|ulżyło mi|Laknulo mi je.|Ulżyło mi.
bolje mi je|czuję się lepiej|Bolje mi je.|Czuję się lepiej.
to me veseli|to mnie cieszy|To me veseli.|To mnie cieszy.
to me rastužuje|to mnie smuci|To me rastužuje.|To mnie smuci.
to me iznenađuje|to mnie zaskakuje|To me iznenađuje.|To mnie zaskakuje.
ne mogu vjerovati|nie mogę uwierzyć|Ne mogu vjerovati.|Nie mogę uwierzyć.
ne mogu to podnijeti|nie mogę tego znieść|Ne mogu to podnijeti.|Nie mogę tego znieść.
previše mi je|to dla mnie za dużo|Previše mi je.|To dla mnie za dużo.
moram se odmoriti|muszę odpocząć|Moram se odmoriti.|Muszę odpocząć.
trebam predah|potrzebuję wytchnienia|Trebam predah.|Potrzebuję wytchnienia.
sve će biti dobro|wszystko będzie dobrze|Sve će biti dobro.|Wszystko będzie dobrze.
proći će|to minie|Proći će.|To minie.
nije kraj svijeta|to nie koniec świata|Nije kraj svijeta.|To nie koniec świata.
razgovarajmo o tome|porozmawiajmy o tym|Razgovarajmo o tome.|Porozmawiajmy o tym.
tu sam za tebe|jestem tu dla ciebie|Tu sam za tebe.|Jestem tu dla ciebie.
hvala što me slušaš|dziękuję, że mnie słuchasz|Hvala što me slušaš.|Dziękuję, że mnie słuchasz.
što ima za ručak|co jest na obiad|Što ima za ručak?|Co jest na obiad?
jesi li već jeo|czy już jadłeś|Jesi li već jeo?|Czy już jadłeś?
idem na posao|idę do pracy|Idem na posao.|Idę do pracy.
vraćam se kući|wracam do domu|Vraćam se kući.|Wracam do domu.
idem spavati|idę spać|Idem spavati.|Idę spać.
moram rano ustati|muszę wcześnie wstać|Moram rano ustati.|Muszę wcześnie wstać.
ostao sam kod kuće|zostałem w domu|Ostao sam kod kuće.|Zostałem w domu.
imam slobodan dan|mam dzień wolny|Imam slobodan dan.|Mam dzień wolny.
nemam danas vremena|nie mam dzisiaj czasu|Nemam danas vremena.|Nie mam dzisiaj czasu.
što planiraš za vikend|co planujesz na weekend|Što planiraš za vikend?|Co planujesz na weekend?
ništa nisam planirao|niczego nie planowałem|Ništa nisam planirao.|Niczego nie planowałem.
vidjet ću još|jeszcze zobaczę|Vidjet ću još.|Jeszcze zobaczę.
idemo zajedno|chodźmy razem|Idemo zajedno.|Chodźmy razem.
možemo pješice|możemy pójść pieszo|Možemo pješice.|Możemy pójść pieszo.
hoćeš li sa mnom|czy pójdziesz ze mną|Hoćeš li sa mnom?|Czy pójdziesz ze mną?
čekaj me ovdje|zaczekaj na mnie tutaj|Čekaj me ovdje.|Zaczekaj na mnie tutaj.
odmah se vraćam|zaraz wracam|Odmah se vraćam.|Zaraz wracam.
neću dugo|nie zajmie mi to długo|Neću dugo.|Nie zajmie mi to długo.
# phrase|travel podstawy
oprostite, gdje je stanica|przepraszam, gdzie jest przystanek|Oprostite, gdje je stanica.|Przepraszam, gdzie jest przystanek.
kako mogu doći do centra|jak mogę dotrzeć do centrum|Kako mogu doći do centra?|Jak mogę dotrzeć do centrum?
je li daleko odavde|czy to daleko stąd|Je li daleko odavde?|Czy to daleko stąd?
koliko treba pješice|ile czasu zajmuje dojście pieszo|Koliko treba pješice?|Ile czasu zajmuje dojście pieszo?
idete u krivom smjeru|idzie pan/pani w złym kierunku|Idete u krivom smjeru.|Idzie pan/pani w złym kierunku.
skrenite lijevo|proszę skręcić w lewo|Skrenite lijevo.|Proszę skręcić w lewo.
