record_id,level,module_no,module_title_pl,lesson_no,lesson_id,lesson_title_pl,record_type,sequence,hr_text,pl_text,lemma,part_of_speech,grammar_focus,communicative_goal,exercise_type,accepted_answers,notes_pl,tags,source_url
A1-1140,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,8,Dobra večer! Kako ste?,Dobry wieczór! Jak się Pan / Pani ma?,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",translation|word_order|listening|gap,Dobra večer! Kako ste?,"Zdanie autorskie do ćwiczeń; przy inputach tekstowych warto akceptować brak części znaków diakrytycznych jako soft error, ale pokazać poprawną pisownię.",sentence|production|comprehension,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-1141,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,9,"Dobro jutro, Ana!","Dzień dobry, Ano!",,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",listening|comprehension,"Dobro jutro, Ana!",Zdanie przykładowe (Etap 2 po audycie A1); pokazywane z nagraniem w kroku „Nowe słowa w zdaniach”.,sentence|example|supplement,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-1142,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,10,"Laku noć, Marko!","Dobranoc, Marko!",,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",listening|comprehension,"Laku noć, Marko!",Zdanie przykładowe (Etap 2 po audycie A1); pokazywane z nagraniem w kroku „Nowe słowa w zdaniach”.,sentence|example|supplement,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-1143,A1,1,Pierwsze kroki,1,a1-01,Bok! Kako si?,sentence,11,Danas sam loše.,Dziś czuję się źle.,,,biti w czasie teraźniejszym; zaimki ja/ti; podstawowe formuły grzecznościowe,"Przywitać się, pożegnać i zapytać o samopoczucie.",listening|comprehension,Danas sam loše.,Zdanie przykładowe (Etap 2 po audycie A1); pokazywane z nagraniem w kroku „Nowe słowa w zdaniach”.,sentence|example|supplement,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/a3.html
A1-0019,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,lesson,0,,,,,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",,,Projekt autorski oparty na deskryptorach CEFR A1 oraz zakresie początkujących kursów Croaticum. Treści nie są kopią podręcznika.,curriculum|cefr-a1|croatian,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0020,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,1,odakle,skąd,odakle,adverb,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,odakle,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0021,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,2,gdje,gdzie,gdje,adverb,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,gdje,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0022,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,3,živjeti,mieszkać / żyć,živjeti,verb,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,živjeti,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0023,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,4,Poljska,Polska,Poljska,proper_noun,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,Poljska,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0024,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,5,Hrvatska,Chorwacja,Hrvatska,proper_noun,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,Hrvatska,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0025,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,6,grad,miasto,grad,noun,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,grad,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
A1-0026,A1,1,Pierwsze kroki,2,a1-02,Skąd jesteś?,vocabulary,7,iz,z / ze,iz,preposition,odakle/gdje; iz + dopełniacz jako gotowa konstrukcja; u + miejscownik w najczęstszych frazach,"Powiedzieć, skąd jesteś i gdzie mieszkasz.",flashcard|recognition|production,iz,Docelowy element aktywnego słownictwa; wrzuć do FSRS po ukończeniu lekcji.,vocab|active,https://www.coe.int/en/web/common-European-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale|https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors-search|https://croaticum.ffzg.unizg.hr/?page_id=1106|https://a1.ffzg.unizg.hr/|https://www.easy-croatian.com/2014/11/15.html|https://www.easy-croatian.com/2014/11/6.html|https://www.easy-croatian.com/2014/11/a4.html
